time_s,time_ps,source_V,analytic_rx_V,tool_rx_V,tool_minus_analytic_V
8.7999999999999993e-11,8.8000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.3624639451133049e-16,-5.3624639451133049e-16
8.9000000000000003e-11,8.9000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2757277713144646e-16,-5.2757277713144646e-16
8.9999999999999999e-11,9.0000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.3147590495239427e-16,-5.3147590495239427e-16
9.0999999999999996e-11,9.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.3841479885630150e-16,-5.3841479885630150e-16
9.1999999999999992e-11,9.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1694759584108851e-16,-5.1694759584108851e-16
9.3000000000000002e-11,9.3000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0740661672321608e-16,-5.0740661672321608e-16
9.3999999999999999e-11,9.4000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2388648974499574e-16,-5.2388648974499574e-16
9.4999999999999995e-11,9.5000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.3971584146328411e-16,-5.3971584146328411e-16
9.6000000000000005e-11,9.6000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2112177420515771e-16,-5.2112177420515771e-16
9.7000000000000001e-11,9.7000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0306980803327406e-16,-5.0306980803327406e-16
9.7999999999999998e-11,9.8000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.8908360000821105e-16,-4.8908360000821105e-16
9.8999999999999994e-11,9.9000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0697293585422187e-16,-5.0697293585422187e-16
1.0000000000000000e-10,1.0000000000000000e+02,1.0000000000000000e+00,0.0000000000000000e+00,-4.9369145924127444e-16,-4.9369145924127444e-16
1.0100000000000000e-10,1.0100000000000000e+02,9.4999999999999996e-01,0.0000000000000000e+00,-4.1503259162745110e-16,-4.1503259162745110e-16
1.0200000000000000e-10,1.0200000000000000e+02,9.0000000000000002e-01,0.0000000000000000e+00,-4.1541206238782102e-16,-4.1541206238782102e-16
1.0299999999999999e-10,1.0300000000000000e+02,8.4999999999999998e-01,0.0000000000000000e+00,-3.6833058304763799e-16,-3.6833058304763799e-16
1.0400000000000000e-10,1.0400000000000000e+02,8.0000000000000004e-01,0.0000000000000000e+00,-3.5011598654988152e-16,-3.5011598654988152e-16
